Job Title,Job Family,Career Track and Level,Job Description
Software Engineering Manager,Software Engineering,M2-4,"This leadership role oversees the planning, coordination, and execution of software development projects within an engineering team. Responsibilities include setting technical direction, managing project timelines, and ensuring solutions align with organizational goals. Strong skills in software design, team leadership, and project management are essential. The position also involves mentoring engineers, conducting performance reviews, and fostering a collaborative development environment. Effective communication, problem-solving abilities, and a solid background in software architecture are required."
,,,
Business Development Representative,Field Sales,P2-4,"Responsible for identifying and cultivating new business opportunities, this role conducts outreach to prospective clients and nurtures relationships to drive company growth. Key tasks include delivering informative presentations, training clients on products or services, and supporting onboarding processes to ensure alignment with organizational learning objectives. Strong communication, persuasion, and interpersonal skills are essential, as is the ability to tailor messaging for diverse audiences. This position analyzes market trends and client needs to tailor training and development initiatives that maximize client engagement and satisfaction. Success in this role requires a blend of instructional ability, sales acumen, and a passion for supporting client development and retention."
Product Manager,Product Strategy,M4,"Overseeing the development and lifecycle of products, this role ensures alignment between company strategy and customer needs. Responsibilities include coordinating cross-functional teams, conducting market analysis, and defining product roadmaps. Strong leadership and communication skills are essential for driving project success and facilitating stakeholder collaboration. Financial acumen and the ability to interpret data guide effective decision-making. This position requires adaptability, organizational expertise, and a focus on delivering profitable, high-quality products within operational objectives."
Quality Assurance Engineer,Quality Assurance,P2-5,"Responsible for designing and executing test plans to ensure the functionality, reliability, and performance of software applications. Collaborates closely with developers and product teams to identify software defects, document issues, and verify resolutions. Utilizes automated and manual testing techniques, as well as specialized testing tools, to validate code quality and compliance with industry standards. Requires strong analytical skills, attention to detail, and proficiency in scripting or programming languages relevant to software testing. Demonstrates an understanding of the software development lifecycle (SDLC) and quality assurance methodologies within a collaborative team environment."
,,,
Software Developer,Software Engineering,P1-6,"Responsible for designing, developing, and maintaining both front-end and back-end components of web applications, this role ensures seamless functionality across platforms. Collaborates closely with UI/UX designers, project managers, and other developers to deliver responsive, scalable solutions. Utilizes programming languages such as JavaScript, HTML, CSS, and server-side technologies like Node.js or Python to implement robust features. Strong problem-solving and debugging abilities, coupled with proficiency in database management, are essential. Stays current with emerging web technologies and industry best practices to optimize application performance and user experience."
Software Developer,Software Engineering,P6,"Responsible for designing, developing, and maintaining both front-end and back-end components of web applications, this role ensures seamless functionality across platforms. Collaborates closely with UI/UX designers, project managers, and other developers to deliver responsive, scalable solutions. Utilizes programming languages such as JavaScript, HTML, CSS, and server-side technologies like Node.js or Python to implement robust features. Strong problem-solving and debugging abilities, coupled with proficiency in database management, are essential. Stays current with emerging web technologies and industry best practices to optimize application performance and user experience."
Cloud Engineer,Software Engineering,P4,"This professional designs, implements, and manages cloud infrastructure to support organizational needs and ensure seamless operations. They monitor system performance, troubleshoot issues, and optimize resources for reliability and scalability. The role requires expertise in cloud platforms, virtualization, network administration, and security best practices. Strong problem-solving skills and experience with automation tools are essential to maintain and improve system efficiency. Collaboration with cross-functional teams is key to deploying solutions that align with security and compliance standards."
Sales Development Representative,Field Sales,S2-4,"This role is responsible for identifying and qualifying potential clients to generate new business opportunities. Key duties include conducting outbound prospecting via calls and emails, managing and updating customer relationship management (CRM) systems, and scheduling meetings between prospects and account executives. Strong communication and interpersonal skills are essential for effectively engaging leads and understanding client needs. The ability to work independently, meet targets, and manage time efficiently is required. Familiarity with sales processes and digital outreach tools is highly valued in this service-focused position."
Sales Manager,Field Sales,M2,"Responsible for leading and motivating a team to achieve revenue targets through effective sales strategies and team management. Oversees the recruitment, training, and performance evaluations of sales staff, ensuring high standards and continuous professional development. Develops and implements sales plans based on market research and analysis to capture new business opportunities and maintain customer relationships. Collaborates closely with marketing and customer service departments to align sales goals with overall company objectives. Strong communication, leadership, analytical, and negotiation skills are essential, along with a proven ability to interpret sales metrics and drive team success."
Sales Development Representative Manager,Field Sales,M3-4,"Overseeing and guiding a team of representatives, this role focuses on developing effective sales strategies to drive lead generation and pipeline growth. Key responsibilities include setting performance goals, training team members on prospecting techniques, and analyzing metrics to identify areas for improvement. Regular collaboration with marketing and account executives ensures alignment of outreach efforts with overall business objectives. Strong leadership, communication, and data-driven decision-making skills are essential for success in this position. The role requires the ability to motivate teams, manage resources efficiently, and adapt strategies to meet evolving market conditions, in accordance with the responsibilities of sales managers under the SOC classification."
Account Executive,Account Management,P4,"This role involves identifying and securing new business opportunities, as well as maintaining strong relationships with existing clients to drive service sales. Key responsibilities include conducting market research, developing tailored proposals, and negotiating contracts to meet revenue targets. The position requires excellent communication, presentation, and interpersonal skills, along with a strong ability to understand client needs and offer appropriate solutions. Regular collaboration with internal teams ensures successful service delivery and customer satisfaction. Analytical thinking and organization are essential for tracking progress and managing multiple accounts effectively."
Product Manager,Product Strategy,M2,"Overseeing the development and lifecycle of products, this role ensures alignment between company strategy and customer needs. Responsibilities include coordinating cross-functional teams, conducting market analysis, and defining product roadmaps. Strong leadership and communication skills are essential for driving project success and facilitating stakeholder collaboration. Financial acumen and the ability to interpret data guide effective decision-making. This position requires adaptability, organizational expertise, and a focus on delivering profitable, high-quality products within operational objectives."
,,,
Cloud Engineer,Software Engineering,P1-6,"This professional designs, implements, and manages cloud infrastructure to support organizational needs and ensure seamless operations. They monitor system performance, troubleshoot issues, and optimize resources for reliability and scalability. The role requires expertise in cloud platforms, virtualization, network administration, and security best practices. Strong problem-solving skills and experience with automation tools are essential to maintain and improve system efficiency. Collaboration with cross-functional teams is key to deploying solutions that align with security and compliance standards."
Payroll Specialist,Payroll,P2-4,"This role is responsible for accurately processing employee time records and ensuring timely payroll distribution. Duties include maintaining payroll data, verifying hours worked, and calculating wages and deductions in compliance with company policies and legal regulations. Strong attention to detail, proficiency in payroll software, and familiarity with accounting principles are essential. Effective communication skills are important for addressing employee inquiries and coordinating with other departments. The position also involves preparing reports, maintaining confidentiality, and resolving discrepancies proactively."
,,,
Product Designer,UX/UI Design,P4,"This role focuses on creating and refining concepts for new or improved commercial and industrial products, balancing functionality, aesthetics, and user experience. Responsibilities include conducting user research, developing prototypes, and collaborating with engineering and marketing teams to ensure design feasibility and market fit. Proficiency in design software, strong visualization skills, and an understanding of manufacturing processes are essential. The position often requires presenting ideas and revisions to stakeholders, as well as iterating designs based on feedback. Attention to detail, problem-solving, and project management abilities are key for successfully bringing innovative products to market."
Product Designer,UX/UI Design,P2,"This role focuses on creating and refining concepts for new or improved commercial and industrial products, balancing functionality, aesthetics, and user experience. Responsibilities include conducting user research, developing prototypes, and collaborating with engineering and marketing teams to ensure design feasibility and market fit. Proficiency in design software, strong visualization skills, and an understanding of manufacturing processes are essential. The position often requires presenting ideas and revisions to stakeholders, as well as iterating designs based on feedback. Attention to detail, problem-solving, and project management abilities are key for successfully bringing innovative products to market."
Sales Development Representative,Field Sales,S2,"This role is responsible for identifying and qualifying potential clients to generate new business opportunities. Key duties include conducting outbound prospecting via calls and emails, managing and updating customer relationship management (CRM) systems, and scheduling meetings between prospects and account executives. Strong communication and interpersonal skills are essential for effectively engaging leads and understanding client needs. The ability to work independently, meet targets, and manage time efficiently is required. Familiarity with sales processes and digital outreach tools is highly valued in this service-focused position."
Web Developer,Software Engineering,P1-6,"This role involves designing, coding, and modifying websites to create visually appealing and user-friendly digital experiences. Responsibilities include developing website layouts, integrating data from back-end services, and ensuring cross-platform optimization for different devices. The position requires strong proficiency in HTML, CSS, JavaScript, and relevant web frameworks. Attention to detail, problem-solving abilities, and effective communication skills are essential for collaborating with designers and stakeholders. Staying current on industry trends and best practices is necessary to deliver modern and secure web solutions in accordance with organizational goals."
,,,
,,,
Executive Assistant,Administrative Support,S2,"This professional provides high-level administrative support to senior executives, managing schedules, communications, and confidential documents. Responsibilities include coordinating meetings, preparing reports, arranging travel, and ensuring efficient office operations. Strong organizational and time management skills are essential, as well as exceptional written and verbal communication abilities. Expertise with office software and discretion in handling sensitive information are also required. The role demands adaptability, attention to detail, and the ability to manage multiple priorities efficiently."
Software Engineering Manager,Software Engineering,M4,"This leadership role oversees the planning, coordination, and execution of software development projects within an engineering team. Responsibilities include setting technical direction, managing project timelines, and ensuring solutions align with organizational goals. Strong skills in software design, team leadership, and project management are essential. The position also involves mentoring engineers, conducting performance reviews, and fostering a collaborative development environment. Effective communication, problem-solving abilities, and a solid background in software architecture are required."
Web Developer,Software Engineering,P6,"This role involves designing, coding, and modifying websites to create visually appealing and user-friendly digital experiences. Responsibilities include developing website layouts, integrating data from back-end services, and ensuring cross-platform optimization for different devices. The position requires strong proficiency in HTML, CSS, JavaScript, and relevant web frameworks. Attention to detail, problem-solving abilities, and effective communication skills are essential for collaborating with designers and stakeholders. Staying current on industry trends and best practices is necessary to deliver modern and secure web solutions in accordance with organizational goals."
,,,
,,,
Sales Enablement Specialist,Field Sales,P3-4,"This role focuses on equipping sales teams with the tools, content, and training needed to drive performance and achieve revenue goals. Responsibilities include developing onboarding programs, creating sales collateral, and analyzing processes to identify opportunities for increased efficiency. Strong communication, project management, and data analysis abilities are essential for success in this position. Collaboration with marketing, product, and sales leadership is key to ensuring alignment and message consistency. The ideal candidate thrives in fast-paced environments and brings a strategic mindset to solving sales-related challenges."
Financial Analyst,Financial Planning & Analysis,P4,"This role evaluates loan applications by analyzing applicants’ financial status, credit, and property evaluations. Responsibilities include preparing detailed reports, verifying documentation, and ensuring compliance with lending policies and regulations. The position requires strong analytical skills, attention to detail, and the ability to communicate complex financial information clearly to clients and stakeholders. Proficiency in financial modeling and loan underwriting software is essential. Ensuring accurate risk assessments and facilitating responsible lending practices are key priorities in this position."
Technical Program Manager,Program Management,M4,"This role oversees the planning and execution of technical training programs, ensuring alignment with organizational goals and technology initiatives. Responsibilities include analyzing skill gaps, designing curriculum, and coordinating cross-functional teams to deliver impactful learning experiences. The position requires strong project management abilities, technical expertise, and excellent communication skills to facilitate collaboration between engineers, trainers, and stakeholders. They evaluate training outcomes and adapt programs to emerging technologies and business needs. A successful candidate demonstrates leadership in fostering a culture of continuous learning and professional growth within the organization."
,,,
Product Manager,Product Strategy,M2-6,"Overseeing the development and lifecycle of products, this role ensures alignment between company strategy and customer needs. Responsibilities include coordinating cross-functional teams, conducting market analysis, and defining product roadmaps. Strong leadership and communication skills are essential for driving project success and facilitating stakeholder collaboration. Financial acumen and the ability to interpret data guide effective decision-making. This position requires adaptability, organizational expertise, and a focus on delivering profitable, high-quality products within operational objectives."
Project Manager,Project Management,M2,"This role is responsible for planning, executing, and closing projects within designated timelines and budgets. Duties include defining project scope, setting objectives, coordinating cross-functional teams, and managing resources. The position requires strong organizational, communication, and leadership skills to effectively guide team members and ensure stakeholder satisfaction. Additional responsibilities involve risk management, progress monitoring, and providing regular updates to senior management. Proficiency in project management tools and methodologies is essential for successful project delivery."
Product Designer,UX/UI Design,P2-6,"This role focuses on creating and refining concepts for new or improved commercial and industrial products, balancing functionality, aesthetics, and user experience. Responsibilities include conducting user research, developing prototypes, and collaborating with engineering and marketing teams to ensure design feasibility and market fit. Proficiency in design software, strong visualization skills, and an understanding of manufacturing processes are essential. The position often requires presenting ideas and revisions to stakeholders, as well as iterating designs based on feedback. Attention to detail, problem-solving, and project management abilities are key for successfully bringing innovative products to market."
Account Executive,Account Management,P4,"This role involves identifying and securing new business opportunities, as well as maintaining strong relationships with existing clients to drive service sales. Key responsibilities include conducting market research, developing tailored proposals, and negotiating contracts to meet revenue targets. The position requires excellent communication, presentation, and interpersonal skills, along with a strong ability to understand client needs and offer appropriate solutions. Regular collaboration with internal teams ensures successful service delivery and customer satisfaction. Analytical thinking and organization are essential for tracking progress and managing multiple accounts effectively."
Product Marketing Manager,Product Marketing,M4,"Responsible for developing and executing go-to-market strategies for products and services, this role collaborates cross-functionally with sales, product, and creative teams to ensure consistent messaging and market alignment. Analyzes customer insights, market trends, and competitive intelligence to inform positioning and campaign tactics. Oversees the creation of sales enablement tools, marketing collateral, and digital content to drive product adoption and demand generation. Requires excellent communication, analytical, and project management skills, along with deep understanding of both market research and product lifecycle management. Manages budgets, timelines, and performance metrics to achieve business objectives and maximize market impact."
Customer Success Manager,Customer Success Management,P2,"Overseeing client relationships, this professional ensures customers achieve their goals by using company products or services effectively. Responsibilities include onboarding new clients, addressing concerns, and proactively identifying opportunities for upselling or cross-selling. Strong communication and problem-solving skills are required, along with an ability to analyze customer feedback and usage data. Collaboration with sales and product teams is key to maintaining high client satisfaction and loyalty. Demonstrating leadership in managing accounts, this role directly contributes to revenue growth and overall business success."
,,,
,,,
Support Manager,Operations Leadership,M3-4,"This role oversees day-to-day operations, ensuring effective support services and high levels of customer satisfaction. Key responsibilities include managing support teams, developing and implementing operational policies, and optimizing workflows. The position requires strong leadership, exceptional communication abilities, and experience with performance analysis. Strategic problem-solving and decision-making skills are essential for adapting to changing business needs. Candidates should be adept at coordinating resources and fostering a collaborative environment to achieve organizational goals."
Customer Success Manager,Customer Success Management,P4,"Overseeing client relationships, this professional ensures customers achieve their goals by using company products or services effectively. Responsibilities include onboarding new clients, addressing concerns, and proactively identifying opportunities for upselling or cross-selling. Strong communication and problem-solving skills are required, along with an ability to analyze customer feedback and usage data. Collaboration with sales and product teams is key to maintaining high client satisfaction and loyalty. Demonstrating leadership in managing accounts, this role directly contributes to revenue growth and overall business success."
Software Architect,Software Engineering,P5,"This role is responsible for designing and overseeing the high-level structure of software solutions, ensuring alignment with business goals and technology strategies. The position requires leading teams, setting technical standards, and evaluating emerging technologies. Strong leadership, problem-solving, and communication skills are essential for collaborating across departments and mentoring software engineers. Responsibilities include establishing best practices, making critical architectural decisions, and managing software development lifecycles. Experience in project management, strategic planning, and resource allocation is necessary to successfully guide teams and deliver robust, scalable systems."
,,,
Product Manager,Product Strategy,M2-6,"Overseeing the development and lifecycle of products, this role ensures alignment between company strategy and customer needs. Responsibilities include coordinating cross-functional teams, conducting market analysis, and defining product roadmaps. Strong leadership and communication skills are essential for driving project success and facilitating stakeholder collaboration. Financial acumen and the ability to interpret data guide effective decision-making. This position requires adaptability, organizational expertise, and a focus on delivering profitable, high-quality products within operational objectives."
Human Resources Consultant,HR Operations,P3-4,"This role provides expert guidance to organizations on HR policies, talent management strategies, and compliance with employment laws. Responsibilities include conducting audits of current HR practices, developing tailored solutions for workforce challenges, and facilitating training sessions for staff and management. Strong analytical and interpersonal skills are required to assess organizational needs and foster effective communication between stakeholders. The position demands up-to-date knowledge of labor laws, compensation structures, and best practices in recruitment and employee relations. Success in this role involves delivering actionable recommendations to optimize workplace performance and ensure regulatory compliance."
Water Management Specialist,Environmental Conservation & Land Management,P3,"This role evaluates and develops strategies for efficient use and conservation of water resources in various settings. Responsibilities include analyzing water usage data, ensuring compliance with relevant regulations, and recommending improvements to water management systems. The position requires strong analytical and problem-solving skills, as well as knowledge of environmental regulations and resource sustainability practices. Effective communication is essential for coordinating with stakeholders and preparing detailed reports. Familiarity with project management and data analysis tools is highly valued in this capacity."
,,,
,,,
,,,
Systems Administrator,Infrastructure & IT,P1-6,"This role is responsible for installing, configuring, and maintaining an organization’s servers, networks, and related computer systems. Key duties include monitoring system performance, troubleshooting issues, and ensuring security protocols are implemented and maintained. The position requires proficiency with operating systems, virtualization, and network infrastructure, as well as strong problem-solving abilities. Additional tasks include creating backup and disaster recovery plans and providing technical support to staff. Excellent communication and documentation skills are essential for collaborating with IT teams and end-users."
,,,
Software Engineering Director,Engineering Leadership,E5,"This role leads and manages multiple software engineering teams to deliver high-quality, scalable technology solutions. Responsibilities include overseeing project timelines, mentoring engineers, and ensuring best practices in software design and development. The position requires strong technical expertise in programming languages, architecture, and software lifecycle management. Effective communication and leadership skills are essential for aligning teams with business objectives and fostering a collaborative environment. Continuous evaluation of emerging technologies and driving process improvements are key components of success in this position."
Sales Manager,Field Sales,M2,"Responsible for leading and motivating a team to achieve revenue targets through effective sales strategies and team management. Oversees the recruitment, training, and performance evaluations of sales staff, ensuring high standards and continuous professional development. Develops and implements sales plans based on market research and analysis to capture new business opportunities and maintain customer relationships. Collaborates closely with marketing and customer service departments to align sales goals with overall company objectives. Strong communication, leadership, analytical, and negotiation skills are essential, along with a proven ability to interpret sales metrics and drive team success."
,,,
,,,
Software Architect,Software Engineering,P5,"This role is responsible for designing and overseeing the high-level structure of software solutions, ensuring alignment with business goals and technology strategies. The position requires leading teams, setting technical standards, and evaluating emerging technologies. Strong leadership, problem-solving, and communication skills are essential for collaborating across departments and mentoring software engineers. Responsibilities include establishing best practices, making critical architectural decisions, and managing software development lifecycles. Experience in project management, strategic planning, and resource allocation is necessary to successfully guide teams and deliver robust, scalable systems."
Sales Manager,Field Sales,M3,"Responsible for leading and motivating a team to achieve revenue targets through effective sales strategies and team management. Oversees the recruitment, training, and performance evaluations of sales staff, ensuring high standards and continuous professional development. Develops and implements sales plans based on market research and analysis to capture new business opportunities and maintain customer relationships. Collaborates closely with marketing and customer service departments to align sales goals with overall company objectives. Strong communication, leadership, analytical, and negotiation skills are essential, along with a proven ability to interpret sales metrics and drive team success."
Sales Enablement Specialist,Field Sales,P3-4,"This role focuses on equipping sales teams with the tools, content, and training needed to drive performance and achieve revenue goals. Responsibilities include developing onboarding programs, creating sales collateral, and analyzing processes to identify opportunities for increased efficiency. Strong communication, project management, and data analysis abilities are essential for success in this position. Collaboration with marketing, product, and sales leadership is key to ensuring alignment and message consistency. The ideal candidate thrives in fast-paced environments and brings a strategic mindset to solving sales-related challenges."
Payroll Specialist,Payroll,P4,"This role is responsible for accurately processing employee time records and ensuring timely payroll distribution. Duties include maintaining payroll data, verifying hours worked, and calculating wages and deductions in compliance with company policies and legal regulations. Strong attention to detail, proficiency in payroll software, and familiarity with accounting principles are essential. Effective communication skills are important for addressing employee inquiries and coordinating with other departments. The position also involves preparing reports, maintaining confidentiality, and resolving discrepancies proactively."
Employment Specialist,HR Operations,P3-4,"This professional assists individuals in finding and securing suitable employment opportunities by conducting thorough assessments of their skills and career interests. They collaborate with employers to identify job openings and match candidates to appropriate positions. Strong communication, interviewing, and counseling abilities are essential to guide job seekers through resume development, job searching, and application processes. Additionally, they track employment outcomes and maintain accurate records to ensure compliance with organizational and regulatory standards. Success in this role requires analytical thinking, attention to detail, and knowledge of current labor market trends."
Loan Operations Specialist,Banking Operations,P2-4,"This role is responsible for processing, reviewing, and maintaining accurate documentation for various types of loans, ensuring full compliance with regulatory standards and internal policies. Key duties include onboarding new loans, performing data entry, and resolving discrepancies in loan files in a timely manner. The position requires strong attention to detail, analytical thinking, and proficiency with financial software platforms. Candidate must display excellent communication skills to coordinate with internal teams and external clients. Efficiency, a strong sense of organization, and the ability to manage multiple tasks concurrently are essential for success in this business operations capacity."
,,,
Implementation Manager,Customer Onboarding,M2-4,"This role oversees the successful deployment of new products, services, or systems within an organization, ensuring projects are completed on time and within budget. Responsibilities include coordinating cross-functional teams, managing client relationships, and troubleshooting implementation issues as they arise. Strong leadership, project management, and communication skills are essential for effective coordination and guidance of personnel. The position requires analytical thinking to assess processes, identify improvements, and streamline operations. Previous experience in team management and a solid understanding of organizational procedures are advantageous."
,,,
,,,
Marketing Operations Manager,Brand Marketing,M3-4,"Responsible for designing and optimizing marketing processes to support campaign execution and lead management. Oversees the implementation and effectiveness of marketing technologies, ensuring seamless data integration and reporting across platforms. Collaborates closely with cross-functional teams to align marketing strategies with business objectives and drive measurable results. Strong analytical skills and proficiency with marketing automation tools are essential for success in this role. Requires experience in project management, process improvement, and effective communication to coordinate initiatives and maximize efficiency."
Sales Operations Manager,Sales Operations,M3-4,"This role is responsible for optimizing and overseeing sales processes to ensure the team meets its revenue targets. Key duties include analyzing sales data, implementing efficient procedures, and coordinating between departments to drive business growth. Strong analytical abilities, excellent communication skills, and experience with CRM software are required. The position involves creating forecasts, setting performance metrics, and supporting the sales team with training and resources. Leadership and strategic planning skills are essential for developing and executing sales strategies in alignment with organizational goals."
,,,
Payroll Specialist,Payroll,P2,"This role is responsible for accurately processing employee time records and ensuring timely payroll distribution. Duties include maintaining payroll data, verifying hours worked, and calculating wages and deductions in compliance with company policies and legal regulations. Strong attention to detail, proficiency in payroll software, and familiarity with accounting principles are essential. Effective communication skills are important for addressing employee inquiries and coordinating with other departments. The position also involves preparing reports, maintaining confidentiality, and resolving discrepancies proactively."
Product Support Manager,Customer Success Management,M3-4,"Responsible for overseeing the delivery of technical support and customer service for company products, this role ensures that clients receive timely and effective assistance. The position involves managing a team, developing support processes, and collaborating with cross-functional departments to resolve product issues efficiently. Strong leadership, organizational, and problem-solving skills are essential to monitor service metrics and implement process improvements. Additional duties include training staff, analyzing support trends, and preparing performance reports for senior management. A deep understanding of company products and excellent communication skills are required to foster customer satisfaction and operational excellence."
Security Analyst,Cybersecurity,P2,"This role involves monitoring networks and systems for security breaches, investigating incidents, and responding to threats. Professionals in this position assess vulnerabilities, implement security tools, and ensure compliance with security policies. Key responsibilities include conducting risk analyses, preparing detailed incident reports, and developing strategies to minimize cyber risks. Strong analytical thinking, attention to detail, and proficiency with intrusion detection systems are essential. Effective communication and the ability to work under pressure are also required for success."
Software Quality Engineer,Software Engineering,P1-6,"This role is responsible for designing and executing test plans to ensure the functionality, reliability, and performance of software applications. Duties include identifying bugs, documenting defects, and collaborating closely with development teams to resolve issues. Strong analytical and problem-solving skills are essential, along with proficiency in automated and manual testing tools. The position requires effective communication to report findings and recommend process improvements. Familiarity with programming languages, software development life cycles, and quality assurance methodologies is crucial for success."
Treasury Specialist,Accounting,P3-4,"This role is responsible for managing corporate cash flow, implementing short-term investment strategies, and ensuring optimal liquidity for daily operations. Key duties include processing wire transfers, reconciling bank statements, and supporting compliance with internal financial controls. Strong analytical skills and attention to detail are essential for monitoring transactions and identifying discrepancies. Proficiency with financial software and a solid understanding of banking regulations are required to ensure accuracy and compliance. Effective communication with internal departments and financial institutions is necessary to support organizational financial objectives."
Data Engineer,Data Science & Analytics,P1-6,"This role is responsible for designing, constructing, and maintaining scalable data architectures that support advanced analytics and business intelligence solutions. Core responsibilities include developing robust data pipelines, optimizing data flow, and ensuring the integrity and quality of extracted and transformed data sets. Proficiency with programming languages such as Python or Scala, as well as experience with SQL, distributed computing, and data modeling, is essential. This position requires collaboration with data analysts, scientists, and other stakeholders to deliver accessible and reliable data for analytical projects. Strong problem-solving skills and a solid grasp of database systems and cloud platforms are crucial for success in this occupation."
AI Engineer,AI Engineering,P4,"This role focuses on designing, developing, and deploying artificial intelligence and machine learning solutions to address complex business challenges. Responsibilities include preprocessing and analyzing large datasets, building predictive models, and optimizing algorithms for performance and scalability. Proficiency in programming languages such as Python or R, knowledge of machine learning frameworks, and familiarity with cloud platforms are essential. Strong analytical, problem-solving, and data engineering skills are required to translate business requirements into effective AI solutions. Collaboration with cross-functional teams ensures successful integration of AI technologies into existing systems."
